Results for phase encoding, tolerance=0.25, grid_grain=10
  Training with exhaustive_search method      Parameters: [3.141592653589793, 3.141592653589793, 2.443460952792061] | Error: 0.240478515625 | Iterations: 9
       History of errors:
          Iteration 16: Error: 0.49072265625
          Iteration 17: Error: 0.49072265625
          Iteration 18: Error: 0.49072265625
          Iteration 19: Error: 0.49072265625
          Iteration 20: Error: 0.49072265625
          Iteration 21: Error: 0.49072265625
          Iteration 22: Error: 0.49072265625
          Iteration 23: Error: 0.49072265625
          Iteration 24: Error: 0.49072265625
          Iteration 25: Error: 0.49072265625
          Iteration 26: Error: 0.49072265625
          Iteration 27: Error: 0.49072265625
          Iteration 28: Error: 0.49072265625
          Iteration 29: Error: 0.49072265625
          Iteration 30: Error: 0.49072265625
          Iteration 31: Error: 0.49072265625
          Iteration 32: Error: 0.49072265625
          Iteration 33: Error: 0.49072265625
          Iteration 34: Error: 0.49072265625
          Iteration 35: Error: 0.49072265625
          Iteration 36: Error: 0.49072265625
          Iteration 37: Error: 0.49072265625
          Iteration 38: Error: 0.49072265625
          Iteration 39: Error: 0.49072265625
          Iteration 40: Error: 0.49072265625
          Iteration 41: Error: 0.49072265625
          Iteration 42: Error: 0.49072265625
          Iteration 43: Error: 0.49072265625
          Iteration 44: Error: 0.49072265625
          Iteration 45: Error: 0.49072265625
          Iteration 46: Error: 0.49072265625
          Iteration 47: Error: 0.49072265625
          Iteration 48: Error: 0.49072265625
          Iteration 49: Error: 0.49072265625
          Iteration 50: Error: 0.49072265625
          Iteration 51: Error: 0.49072265625
          Iteration 52: Error: 0.49072265625
          Iteration 53: Error: 0.49072265625
          Iteration 54: Error: 0.49072265625
          Iteration 55: Error: 0.49072265625
          Iteration 56: Error: 0.49072265625
          Iteration 57: Error: 0.49072265625
          Iteration 58: Error: 0.49072265625
          Iteration 59: Error: 0.49072265625
          Iteration 60: Error: 0.49072265625
          Iteration 61: Error: 0.49072265625
          Iteration 62: Error: 0.49072265625
          Iteration 63: Error: 0.49072265625
          Iteration 64: Error: 0.49072265625
          Iteration 65: Error: 0.49072265625
          Iteration 66: Error: 0.49072265625
          Iteration 67: Error: 0.49072265625
          Iteration 68: Error: 0.49072265625
          Iteration 69: Error: 0.49072265625
          Iteration 70: Error: 0.49072265625
          Iteration 71: Error: 0.49072265625
          Iteration 72: Error: 0.49072265625
          Iteration 73: Error: 0.49072265625
          Iteration 74: Error: 0.49072265625
          Iteration 75: Error: 0.49072265625
          Iteration 76: Error: 0.49072265625
          Iteration 77: Error: 0.49072265625
          Iteration 78: Error: 0.49072265625
          Iteration 79: Error: 0.49072265625
          Iteration 80: Error: 0.49072265625
          Iteration 81: Error: 0.49072265625
          Iteration 82: Error: 0.49072265625
          Iteration 83: Error: 0.49072265625
          Iteration 84: Error: 0.49072265625
          Iteration 85: Error: 0.49072265625
          Iteration 86: Error: 0.49072265625
          Iteration 87: Error: 0.49072265625
          Iteration 88: Error: 0.49072265625
          Iteration 89: Error: 0.49072265625
          Iteration 90: Error: 0.49072265625
          Iteration 91: Error: 0.49072265625
          Iteration 92: Error: 0.49072265625
          Iteration 93: Error: 0.49072265625
          Iteration 94: Error: 0.49072265625
          Iteration 95: Error: 0.49072265625
          Iteration 96: Error: 0.49072265625
          Iteration 97: Error: 0.49072265625
          Iteration 98: Error: 0.49072265625
          Iteration 99: Error: 0.49072265625
          Iteration 100: Error: 0.49072265625
          Iteration 101: Error: 0.49072265625
          Iteration 102: Error: 0.49072265625
          Iteration 103: Error: 0.49072265625
          Iteration 104: Error: 0.49072265625
          Iteration 105: Error: 0.49072265625
          Iteration 106: Error: 0.49072265625
          Iteration 107: Error: 0.49072265625
          Iteration 108: Error: 0.49072265625
          Iteration 109: Error: 0.49072265625
          Iteration 110: Error: 0.49072265625
          Iteration 111: Error: 0.49072265625
          Iteration 112: Error: 0.49072265625
          Iteration 113: Error: 0.49072265625
          Iteration 114: Error: 0.49072265625
          Iteration 115: Error: 0.49072265625
          Iteration 116: Error: 0.49072265625
          Iteration 117: Error: 0.49072265625
          Iteration 118: Error: 0.49072265625
          Iteration 119: Error: 0.49072265625
          Iteration 120: Error: 0.49072265625
          Iteration 121: Error: 0.49072265625
          Iteration 122: Error: 0.49072265625
          Iteration 123: Error: 0.49072265625
          Iteration 124: Error: 0.49072265625
          Iteration 125: Error: 0.49072265625
          Iteration 126: Error: 0.49072265625
          Iteration 127: Error: 0.49072265625
          Iteration 128: Error: 0.49072265625
          Iteration 129: Error: 0.49072265625
          Iteration 130: Error: 0.49072265625
          Iteration 131: Error: 0.49072265625
          Iteration 132: Error: 0.49072265625
          Iteration 133: Error: 0.49072265625
          Iteration 134: Error: 0.49072265625
          Iteration 135: Error: 0.49072265625
          Iteration 136: Error: 0.49072265625
          Iteration 137: Error: 0.49072265625
          Iteration 138: Error: 0.49072265625
          Iteration 139: Error: 0.49072265625
          Iteration 140: Error: 0.49072265625
          Iteration 141: Error: 0.49072265625
          Iteration 142: Error: 0.49072265625
          Iteration 143: Error: 0.49072265625
          Iteration 144: Error: 0.49072265625
          Iteration 145: Error: 0.49072265625
          Iteration 146: Error: 0.49072265625
          Iteration 147: Error: 0.49072265625
          Iteration 148: Error: 0.49072265625
          Iteration 149: Error: 0.49072265625
          Iteration 150: Error: 0.49072265625
          Iteration 151: Error: 0.49072265625
          Iteration 152: Error: 0.49072265625
          Iteration 153: Error: 0.49072265625
          Iteration 154: Error: 0.49072265625
          Iteration 155: Error: 0.49072265625
          Iteration 156: Error: 0.49072265625
          Iteration 157: Error: 0.49072265625
          Iteration 158: Error: 0.49072265625
          Iteration 159: Error: 0.49072265625
          Iteration 160: Error: 0.49072265625
          Iteration 161: Error: 0.49072265625
          Iteration 162: Error: 0.49072265625
          Iteration 163: Error: 0.49072265625
          Iteration 164: Error: 0.49072265625
          Iteration 165: Error: 0.49072265625
          Iteration 166: Error: 0.49072265625
          Iteration 167: Error: 0.49072265625
          Iteration 168: Error: 0.49072265625
          Iteration 169: Error: 0.49072265625
          Iteration 170: Error: 0.49072265625
          Iteration 171: Error: 0.4873046875
          Iteration 172: Error: 0.4873046875
          Iteration 173: Error: 0.4873046875
          Iteration 174: Error: 0.4873046875
          Iteration 175: Error: 0.4873046875
          Iteration 176: Error: 0.4873046875
          Iteration 177: Error: 0.4873046875
          Iteration 178: Error: 0.4873046875
          Iteration 179: Error: 0.4873046875
          Iteration 180: Error: 0.4873046875
          Iteration 181: Error: 0.4873046875
          Iteration 182: Error: 0.48388671875
          Iteration 183: Error: 0.48388671875
          Iteration 184: Error: 0.48388671875
          Iteration 185: Error: 0.48388671875
          Iteration 186: Error: 0.48388671875
          Iteration 187: Error: 0.48388671875
          Iteration 188: Error: 0.48388671875
          Iteration 189: Error: 0.48388671875
          Iteration 190: Error: 0.48388671875
          Iteration 191: Error: 0.48388671875
          Iteration 192: Error: 0.48388671875
          Iteration 193: Error: 0.48388671875
          Iteration 194: Error: 0.48388671875
          Iteration 195: Error: 0.48388671875
          Iteration 196: Error: 0.48388671875
          Iteration 197: Error: 0.48388671875
          Iteration 198: Error: 0.48388671875
          Iteration 199: Error: 0.48388671875
          Iteration 200: Error: 0.48388671875
          Iteration 201: Error: 0.48388671875
          Iteration 202: Error: 0.48388671875
          Iteration 203: Error: 0.48388671875
          Iteration 204: Error: 0.48388671875
          Iteration 205: Error: 0.48388671875
          Iteration 206: Error: 0.48388671875
          Iteration 207: Error: 0.48388671875
          Iteration 208: Error: 0.48388671875
          Iteration 209: Error: 0.48388671875
          Iteration 210: Error: 0.48388671875
          Iteration 211: Error: 0.48388671875
          Iteration 212: Error: 0.48388671875
          Iteration 213: Error: 0.48388671875
          Iteration 214: Error: 0.48388671875
          Iteration 215: Error: 0.48388671875
          Iteration 216: Error: 0.48388671875
          Iteration 217: Error: 0.48388671875
          Iteration 218: Error: 0.48388671875
          Iteration 219: Error: 0.48388671875
          Iteration 220: Error: 0.48388671875
          Iteration 221: Error: 0.48388671875
          Iteration 222: Error: 0.48388671875
          Iteration 223: Error: 0.48388671875
          Iteration 224: Error: 0.48388671875
          Iteration 225: Error: 0.48388671875
          Iteration 226: Error: 0.48388671875
  Training with genetic_algorithm method      Parameters: [4.298253499487576, 2.027486227358523, 5.664318669244838] | Error: 0.169921875 | Iterations: 1
       History of errors:
          Iteration 1: Error: 0.169921875
